指标名称,北京:职工平均工资,天津:职工平均工资,石家庄市:职工平均工资,承德市:职工平均工资,张家口市:职工平均工资,秦皇岛市:职工平均工资,唐山市:职工平均工资,保定市:职工平均工资,衡水市:职工平均工资,邯郸市:职工平均工资,太原市:职工平均工资,阳泉市:职工平均工资,呼和浩特市:职工平均工资,包头市:职工平均工资,沈阳市:职工平均工资,大连市:职工平均工资,丹东市:职工平均工资,长春市:职工平均工资,吉林市:职工平均工资,哈尔滨市:职工平均工资,牡丹江市:职工平均工资,齐齐哈尔市:职工平均工资,上海:职工平均工资,南京市:职工平均工资,无锡市:职工平均工资,徐州市:职工平均工资,常州市:职工平均工资,苏州市:职工平均工资,南通市:职工平均工资,连云港市:职工平均工资,扬州市:职工平均工资,杭州市:职工平均工资,宁波市:职工平均工资,温州市:职工平均工资,合肥市:职工平均工资,蚌埠市:职工平均工资,福州市:职工平均工资,厦门市:职工平均工资,泉州市:职工平均工资,南昌市:职工平均工资,九江市:职工平均工资,赣州市:职工平均工资,宜春市:职工平均工资,吉安市:职工平均工资,济南市市辖区:职工平均工资,济南市:职工平均工资,青岛市:职工平均工资,烟台市:职工平均工资,济宁市:职工平均工资,洛阳市:职工平均工资,郑州市:职工平均工资,许昌市:职工平均工资,武汉市:职工平均工资,宜昌市:职工平均工资,襄阳市:职工平均工资,长沙市:职工平均工资,常德市:职工平均工资,广州市:职工平均工资,深圳市:职工平均工资,珠海市:职工平均工资,佛山市:职工平均工资,韶关市:职工平均工资,惠州市:职工平均工资,湛江市:职工平均工资,南宁市:职工平均工资,桂林市:职工平均工资,北海市:职工平均工资,海口市:职工平均工资,三亚市:职工平均工资,重庆:职工平均工资,成都市:职工平均工资,绵阳市:职工平均工资,贵阳市:职工平均工资,遵义市:职工平均工资,昆明市:职工平均工资,曲靖市:职工平均工资,西安市:职工平均工资,汉中市:职工平均工资,兰州市:职工平均工资,白银市:职工平均工资,西宁市市辖区:职工平均工资,西宁市:职工平均工资,银川市:职工平均工资,乌鲁木齐市:职工平均工资
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元
2019-12-31,173205.00,111602.00,78937.00,69365.00,70937.00,80184.00,77990.00,71315.00,64590.00,66540.00,82860.00,65202.00,84105.00,81889.00,87696.00,95442.00,57008.00,88082.00,69766.00,82385.00,65154.00,65440.00,151772.00,129605.00,105759.00,78568.00,104539.00,105572.00,86797.00,79198.15,81837.00,120308.00,110878.00,90677.00,95156.00,75285.00,88952.00,97779.00,72321.00,88470.00,77121.00,70640.00,65679.00,68643.00,102242.00,100593.00,103125.00,82280.00,77459.00,75283.00,88030.00,63355.00,98043.00,60135.00,69683.00,98459.00,72037.00,123498.00,127757.00,100878.00,86401.00,87326.00,83639.00,81168.00,90986.00,78252.00,74639.00,85121.00,87058.00,89714.00,97519.00,76270.00,92650.00,94643.00,94063.00,79179.00,96867.00,69926.00,88393.00,74018.00,94219.00,91494.00,94559.00,90729.00
2018-12-31,149843.00,103931.00,75114.00,65558.00,69520.00,75131.00,74569.00,66548.00,62877.00,62696.00,80825.00,61813.00,71387.00,75318.00,82067.00,87592.00,44077.00,80425.00,66592.00,71771.00,62277.00,63738.00,142983.00,111071.00,90284.00,71457.00,91268.00,94421.00,79218.00,75808.00,75996.00,106709.00,102325.00,82837.00,89022.00,70034.00,83175.00,85166.00,65915.00,82672.00,71921.00,66875.00,60751.00,60643.00,93573.00,91651.00,90840.00,74653.00,66160.00,65974.00,80963.00,59223.00,88327.00,54870.00,67488.00,93293.00,66335.00,111839.00,111709.00,87032.00,80288.00,75531.00,77634.00,70118.00,83452.00,73226.00,69625.00,77632.00,79661.00,81764.00,88011.00,78266.00,82685.00,87640.50,80253.00,72248.00,87125.00,65916.00,85575.00,66477.00,85631.00,84071.00,87291.00,85990.00
2017-12-31,134994.00,96965.00,67880.00,60270.00,63976.00,70753.00,66843.00,63835.00,58014.00,58917.00,72114.00,56255.00,63084.00,69706.00,74181.00,81884.00,42230.00,73469.00,59923.00,67542.00,110393.00,57148.00,130765.00,101502.00,89551.00,63917.00,84744.00,87350.00,75315.00,69726.00,71663.00,96670.00,91705.00,75881.00,77484.00,61537.00,75133.00,75452.00,61253.00,72686.00,61938.00,60337.00,53568.00,54256.00,87773.00,84645.00,83539.00,68979.00,61909.00,57863.00,70486.00,53268.00,79684.00,50498.00,58706.00,85187.00,59399.00,98612.00,100173.00,81014.00,72712.00,65739.00,70890.00,62094.00,75481.00,65694.00,60622.00,68037.00,72826.00,73272.00,79292.00,69621.00,73939.00,80638.00,76350.00,63591.00,77774.00,60395.00,75709.00,60464.00,69783.00,73540.00,77206.00,78072.00
2016-12-31,122749.00,87806.00,61189.00,53449.00,52277.00,61988.00,59623.00,54395.00,50294.00,50847.00,64820.00,48195.00,56213.00,63987.00,67444.00,73764.00,38763.00,68434.00,53392.00,62583.00,55054.00,50558.00,120503.00,90191.00,84931.00,57228.00,81058.00,79870.00,71743.00,61262.00,67611.00,87153.00,83656.00,70069.00,71054.00,56015.00,67630.00,69218.00,57141.00,65812.00,56331.00,55253.00,49614.00,52402.00,79802.00,77012.00,76616.00,64219.00,57362.00,51295.00,61149.00,48235.00,71963.00,47193.00,50677.00,77782.00,55317.00,89096.00,89757.00,74931.00,67187.00,61465.00,64766.00,55565.00,68560.00,59129.00,55502.00,62030.00,65030.00,67386.00,74408.00,63618.00,70535.00,75480.00,68375.00,53270.00,69611.00,55739.00,67011.00,53848.00,63280.00,61069.00,70840.00,73254.00
2015-12-31,113073.00,81486.00,54441.00,49071.00,48892.00,57451.00,55565.00,50477.00,47174.00,46650.00,60516.00,46594.00,53698.00,59500.00,61827.00,69390.00,35790.00,62519.00,49234.00,58405.00,47412.00,47011.00,109279.00,81075.00,76019.00,54310.00,70850.00,72291.00,66535.00,56154.00,63891.00,77816.00,74989.00,64412.00,65806.00,51146.00,62478.00,66930.00,54044.00,57730.00,51065.00,50313.00,45330.00,48312.00,73984.00,68997.00,69465.00,59906.00,54077.00,46515.00,52987.00,43792.00,65720.00,43282.00,48022.00,67266.00,48655.00,81171.00,81034.00,67958.00,61810.00,54923.00,58607.00,50177.00,66749.00,53925.00,49773.00,57455.00,61502.00,62091.00,69123.00,59093.00,63949.00,66991.00,62033.00,46684.00,63193.00,51411.00,62201.00,51196.00,56777.00,58099.00,65643.00,67617.00
2014-12-31,103400.00,73839.00,48272.09,44512.74,39399.56,52497.76,51214.10,43046.73,41011.00,41422.93,57770.59,47006.73,50468.91,56250.91,56589.59,63609.43,32566.80,56976.99,45365.45,51554.10,42278.83,42193.25,100623.00,77286.26,68025.97,49778.92,67397.08,66956.28,63292.44,52614.12,57141.24,70823.44,70227.63,59900.68,59648.42,45369.46,58838.06,63062.49,48963.02,51848.13,44404.28,45112.52,41421.82,43168.62,66725.91,62322.60,62096.82,52809.71,50435.52,44484.20,49756.03,41474.40,60624.48,39475.82,43470.05,61846.65,42842.34,74246.13,73492.38,62579.63,55678.43,49063.34,53573.81,45453.12,54330.28,46673.51,44598.23,50652.54,54639.75,56852.00,63201.37,52164.25,59330.47,57154.97,58153.40,41677.27,54097.65,46351.66,54008.39,46604.53,55997.16,54914.08,59079.69,61617.39
2013-12-31,93997.00,68864.00,43712.00,42323.10,36290.59,48308.30,48270.06,39678.67,36685.95,39040.86,51161.00,48494.21,48797.00,53095.35,52389.00,58946.00,32182.95,52220.00,42082.67,47150.00,38285.51,37957.28,91477.00,66222.00,60581.57,47014.91,73034.51,60531.68,58653.30,46246.81,52658.51,64958.00,63362.00,54590.00,54177.00,42434.00,53420.00,61754.00,44896.45,46892.00,39517.68,40923.80,37752.78,39300.85,59446.12,55840.00,55334.00,48088.00,47304.00,40469.93,45066.00,36021.53,53684.00,33030.21,28493.66,56215.00,38198.39,73678.00,77721.00,56240.09,50355.33,44902.16,47125.87,40534.16,49806.00,41771.12,41088.43,45058.00,47323.00,51015.00,84724.00,48420.26,50654.00,50550.51,51119.00,39568.41,54388.00,43712.64,49424.00,44207.59,44694.96,176560.00,56565.00,56680.00
2012-12-31,85306.02,65398.43,38425.99,34605.77,35658.09,45686.79,45230.00,34913.54,32945.40,37987.53,48904.69,54386.09,65637.08,51646.06,49898.08,54821.15,28626.61,46672.99,40445.95,41772.95,34296.39,34154.17,80191.00,63151.73,56884.08,44067.52,55761.16,57621.90,49398.18,44129.33,47796.88,56417.81,56255.50,48213.66,50723.74,38447.09,48087.61,52672.94,41116.41,43769.02,33894.94,32872.31,32740.60,33211.58,52525.37,48829.04,49052.31,41625.67,44526.47,42397.31,40471.52,33815.69,48941.72,28696.73,29119.28,50905.25,34048.86,67514.99,59009.58,48484.78,46205.20,40128.31,41507.64,33963.22,44144.24,37465.68,36328.37,40485.53,39970.67,45392.02,48302.27,43216.51,42661.98,45302.84,45093.52,37294.77,46688.42,40736.28,44488.41,43966.58,41891.62,44085.58,54274.38,51134.90
2011-12-31,75834.61,55636.33,35131.75,34136.94,33437.11,37195.05,42029.40,32277.69,28999.60,36119.57,44868.25,47345.63,42796.88,47053.62,45756.48,49727.92,27051.72,41471.21,35091.71,36449.88,31026.89,30688.61,77031.27,54711.85,51516.54,39489.99,49754.85,51658.96,44570.66,38816.04,40284.24,54408.46,49756.38,42344.12,45442.22,33059.00,42240.09,46413.94,35901.09,39816.23,29456.00,27850.86,27292.96,27262.49,47859.48,44004.45,43161.52,37789.52,39251.50,33471.82,35755.56,29854.10,45643.64,25977.80,25768.84,44495.20,30829.39,57473.59,55142.21,41055.60,40664.89,35828.86,36023.41,29821.08,40118.93,34081.66,31013.34,38059.82,37023.09,40041.99,42363.19,38252.92,38672.97,40542.17,41645.22,35888.95,41678.81,35125.59,38968.12,39808.62,39088.27,38443.08,49938.20,47177.78
2010-12-31,65683.00,52963.00,31458.78,29964.94,30588.82,35829.67,37230.96,28090.88,25696.97,32126.01,38838.91,42408.41,37693.47,41398.28,41899.67,44615.02,25866.21,35721.09,30991.90,32411.10,27432.12,27054.41,71874.00,48781.69,47004.39,34244.07,44211.39,45567.59,39445.86,33837.43,35432.99,48771.90,43476.23,37605.46,39290.84,28706.94,34804.48,40282.94,28907.87,35037.98,24746.15,23600.56,23843.30,23096.94,41025.84,37853.89,37803.49,34193.93,35820.80,29908.09,32777.81,26643.55,39302.17,22670.79,24442.12,38337.70,28187.12,54494.11,50455.03,34407.82,37081.73,31872.45,29597.64,26789.65,37039.89,30827.84,28062.44,34191.99,33446.73,35326.00,38603.14,32522.84,31128.48,32923.03,32022.13,32553.64,37871.54,30147.79,33963.82,34109.61,33465.79,32219.66,39815.90,40648.78
2009-12-31,58140.00,44992.00,27369.84,26725.12,26680.90,32228.41,33330.85,24967.69,22760.30,27617.86,33140.33,34730.87,33992.83,36725.76,38576.86,38765.37,23342.56,30448.41,29299.24,29250.71,23639.49,21371.89,63549.00,43623.21,43346.97,31175.86,39221.83,40262.16,35221.70,29551.08,30607.89,43946.59,39137.62,33891.88,34143.62,25512.23,30704.44,36454.99,25272.65,30449.86,21053.30,20561.98,23949.16,20610.84,38538.97,35661.31,33257.15,31200.15,30995.96,26151.79,29836.72,22813.07,30252.00,19332.00,20290.44,34887.87,25052.34,49518.11,46715.25,31760.66,34106.00,28273.12,25786.99,23943.29,32596.13,27843.90,24761.28,30639.01,28410.42,30965.00,34195.16,26212.49,27579.06,30260.82,29889.22,29233.04,34032.00,26630.73,28995.58,30458.62,29218.14,28124.44,36795.22,36500.40
2008-12-31,56328.00,41748.00,22745.82,24209.28,23598.53,29140.71,29422.98,21765.03,19379.62,23654.65,29588.57,30458.07,30871.77,31775.72,33545.76,34304.37,21528.77,26968.10,27118.47,25525.67,19498.01,21934.07,56565.00,39877.53,38846.00,26822.62,34836.16,36088.71,30854.01,26495.23,27321.15,40193.08,35834.54,29595.07,30401.18,22347.91,27521.06,32343.50,22225.19,26960.51,17795.58,18421.91,19081.46,19036.06,33680.38,31599.81,30234.51,28717.26,27983.44,22881.52,26477.63,18582.61,28431.31,19744.21,17907.72,31833.93,23042.72,45701.99,43731.49,29127.23,31044.06,25966.51,22728.81,21809.56,29375.96,24845.03,21658.18,27327.62,26141.00,26985.00,30809.93,22792.03,26386.11,25941.73,22432.15,25980.35,29749.43,22337.41,26119.90,26457.48,27339.93,26461.67,33248.58,33340.59
